Etikett:;Liedtitel:;Komponist:;Nummer:;letzte Auff�hrung:;;
Weltliche Chorliteratur;Im Schwarzwald da bin ich geboren..(2011);Satz Ulrich Eisert;Rosa 46;;;
Weltliche Chorliteratur;Im Walde  (Ihr V�gel in den Zweigen.) ..;F. Mendelsohn-Barth.;Rosa 47;;;
Weihnachtliche Chorliteratur ;In das Warten dieser Welt.....;Felix Mendelsohn-Bart.;Blau 22;Dezember 16;;
Weltliche Chorliteratur;In R�desheim am Rhein;Horst Best;Rosa 48;;;
Weltliche Chorliteratur;In stiller Nacht......;Joh.Brahms;Rosa 49;;;
Weihnachtliche Chorliteratur ;Inmitten der Nacht.....;M.B�hler;Blau 23;;;
Weltliche Chorliteratur;Irische Segensw�nsche M�ge die..;;Rosa 121;Dezember 24;;
Weltliche Chorliteratur;Jazz Kanon;   ;Rosa 51;;;
Geistliche Chorliteratur;Jesus Christus herrscht als K�nig;;Gelb 16;;;
Geistliche Chorliteratur;Jubilate;Joh.Michel;Gelb 17;;;
Weihnachtliche Chorliteratur ;Jubilate Weihnachtslied Aus Ru�land;Bortniansky;Blau 49;Dezember 17;;
Weltliche Chorliteratur;Jubil�umshymne ;Willy Sch�tz;Rosa 63;;;
Weltliche Chorliteratur;Kad si bila mala mare;Franz M�ckl;Rosa 53;;;
Weltliche Chorliteratur;Kalinka;;Rosa 116;;;
Weltliche Chorliteratur;Kein sch�ner Land;Willi Nagel;Rosa 54;;;
Weltliche Chorliteratur;Kleine Barke im Wind�(2019);;Rosa 114;;;
Weltliche Chorliteratur;Kleine Maria (In der kleinen Stadt...);Gerd Onnen;Rosa 55;;;
Weihnachtliche Chorliteratur ;Kleines Lamm sagt der Nachtwind auf dem Feld..--;Gloria Shayne;Blau 57;Dezember 18;;
Weltliche Chorliteratur;Kriminaltango  (Und sie tanzen )  ;Dt.Text:Kurt Feltz;Rosa 56;;;
Weltliche Chorliteratur;L�inverno e passato;;Rosa 118;;;
Weltliche Chorliteratur;La donna mobile�;Giuseppe Verdi;Rosa 145;;;
Weltliche Chorliteratur;LA VIE EN ROSE.. Schau mich bitte �;;Rosa 132;;;
Weltliche Chorliteratur;Laetatus cum F-Dur;Antonio Vivaldi;Rosa 57;;;
Weltliche Chorliteratur;La� doch der Jugend ihren Lauf�.;;Rosa 131;;;
Weihnachtliche Chorliteratur ;Lasst uns froh und munter..     Doppelbl. 4 Lieder;Manfred B�hler;Blau 24;;;
Weltliche Chorliteratur;Lebe, liebe, lache�;Robert Pappert;Rosa 59;;;
Weltliche Chorliteratur;Leih aus deines Himmels H�hen 2005;Chris.W.Gluck;Rosa 60;;;
Weihnachtliche Chorliteratur ;Leise rieselt der Schnee...        Doppelbl. 3 Lieder;;Blau 25;Dezember 24;;
Geistliche Chorliteratur;Leise, leise fromme Weise   ( auch kleines Buch);;Gelb 19;;;
Weltliche Chorliteratur;Leuchtet der Morgen;Wilhelm Heinrich;Rosa 63;;;
Weihnachtliche Chorliteratur ;Liebe kam zur Weihnacht;Robert Jones;Blau 26;;;
Weltliche Chorliteratur;Liebe:Schon seit vielen tausend Jahr.;Brigitte Rabe;Rosa 61;;;
Weltliche Chorliteratur;Liebeskummer lohnt sich nicht;Christian Bruhn;Rosa 141;;;
Weltliche Chorliteratur;Lieder gib mir, s��e Lieder 2005;W.A. Mozart;Rosa 64;;;
Weltliche Chorliteratur;Live is Life��.;;Rosa 133;Juli 24;;
Geistliche Chorliteratur;Lobet den Herren der Welt;;Gelb 20;;;
